brand,channel,month,month_idx,spend,revenue,roas,iroas,mas,rroi,ctr,cpc,picr,impression_share,cal_month,log_metric,own_n_hist,own_trailing_trend,detrended,seasonal_index,peer_trailing_trend,global_level,baseline,residual,own_sigma,peer_sigma,global_sigma,sigma,sudden_z,gradual_z,alert_score,alert_source,direction,is_true_spike,flagged,spike_type
Aster Wellness,audio,2023-01,0,35548.09195983527,75967.09760458808,2.137023210427751,1.2170024477781325,41040.86102838999,1.1545165651861382,0.0042405193906449,0.9598051169762903,0.045760993314712214,0.4340845013081261,1,0.7594138374983138,0,,,0.0,,,,,,,,0.15,,,,sudden,up,False,False,
Ridgeway Grocery,retail_media,2023-01,0,59790.18031903291,347057.8290840173,5.8045957920207005,2.7215032708659694,154011.42778778996,2.5758649157103104,0.021868085223538242,1.4579985535310032,0.15223440878447064,0.687756351350442,1,1.758649981721318,0,,,0.0,,,,,,,,0.15,,,,sudden,up,False,False,
Crestline Beverages,audio,2023-01,0,78167.71966124346,131311.4311717671,1.6798677477203285,1.7254787810857473,114360.73801203197,1.4630174515469903,0.004728287615706862,0.816238894278894,0.0460001856965013,0.4321659926782824,1,0.5187150687214176,0,,,0.0,,,,,,,,0.15,,,,sudden,up,False,False,
Ridgeway Grocery,tv,2023-01,0,54704.11823737365,133637.86496688248,2.442921470500581,1.4642614304123134,83090.18659850626,1.5189018537500043,0.003295722159754739,,0.05308837964233865,0.5494305718878548,1,0.8931946470600489,0,,,0.0,,,,,,,,0.15,,,,sudden,up,False,False,
Solstice Foods,affiliate,2023-01,0,99693.86528625952,339027.16726635577,3.400682341815899,2.8897911174165016,293573.57573819446,2.9447506613895604,0.03470403183983625,1.0588980159891257,0.1303828184733376,0.5719160761046842,1,1.2239761002562006,0,,,0.0,,,,,,,,0.15,,,,sudden,up,False,False,
Crestline Beverages,affiliate,2023-01,0,69281.58924590313,210705.74935260075,3.0412949767179387,2.24568295507179,151772.21239365856,2.190657201222234,0.027119182931031393,1.2620708441874535,0.12221374392409715,0.5616673736364938,1,1.112283403898288,0,,,0.0,,,,,,,,0.15,,,,sudden,up,False,False,
Solstice Foods,digital_video,2023-01,0,108266.28364415899,261756.7481934485,2.4177125082982416,1.6485903411240401,197726.571306992,1.8262986836868254,0.00856940911323504,1.17597951376202,0.07264620618362683,0.5433591003045588,1,0.8828218486384282,0,,,0.0,,,,,,,,0.15,,,,sudden,up,False,False,
Solstice Foods,display,2023-01,0,131956.02634707474,382644.098930838,2.8997849474823973,1.7558631953629769,218989.834599564,1.659566756152313,0.005938891163316768,0.6343359770869776,0.04628585261812143,0.49590568411492614,1,1.0646365782021805,0,,,0.0,,,,,,,,0.15,,,,sudden,up,False,False,
Aster Wellness,social,2023-01,0,39422.70457359759,102791.70426365253,2.6074239546846005,1.8002720500353835,72388.83428339791,1.8362219199917247,0.011226217889304179,0.9599622493429,0.08043417229004518,0.5647056090775834,1,0.9583627433964083,0,,,0.0,,,,,,,,0.15,,,,sudden,up,False,False,
Solstice Foods,paid_search,2023-01,0,78291.9713282465,384540.100542339,4.9116160190949625,2.609839187378426,245225.49706552652,3.1321921380341213,0.041723011206866875,1.7660313642614802,0.16188680126292448,0.7744809780479432,1,1.591603015780896,0,,,0.0,,,,,,,,0.15,,,,sudden,up,False,False,
