event_id,event_key,brand,brands,category,channels,scope,start_month,end_month,shape,causes
0,brand:Solstice Foods#0,Solstice Foods,Solstice Foods,food_beverage,"social,retail_media",channel,2025-05,2025-05,sudden,creative_refresh:1.00
1,brand:Solstice Foods#1,Solstice Foods,Solstice Foods,food_beverage,affiliate,channel,2025-10,2025-10,sudden,spend_reduction_artifact:1.00
2,brand:Solstice Foods#2,Solstice Foods,Solstice Foods,food_beverage,tv,channel,2024-09,2024-09,sudden,genuine_efficiency_gain:0.46;creative_refresh:0.54
3,brand:Solstice Foods#3,Solstice Foods,Solstice Foods,food_beverage,retail_media,channel,2023-10,2023-10,sudden,survivorship_bias:1.00
4,brand:Solstice Foods#4,Solstice Foods,Solstice Foods,food_beverage,tv,channel,2024-08,2024-10,gradual,creative_refresh:1.00
5,brand:Solstice Foods#5,Solstice Foods,Solstice Foods,food_beverage,"paid_search,social",channel,2023-06,2023-08,gradual,genuine_efficiency_gain:1.00
6,brand:Solstice Foods#6,Solstice Foods,Solstice Foods,food_beverage,paid_search,channel,2025-05,2025-07,gradual,creative_refresh:1.00
7,brand:Solstice Foods#7,Solstice Foods,Solstice Foods,food_beverage,"tv,digital_video",channel,2024-05,2024-05,sudden,survivorship_bias:1.00
8,brand:Solstice Foods#8,Solstice Foods,Solstice Foods,food_beverage,affiliate,channel,2025-04,2025-06,gradual,survivorship_bias:1.00
0,brand:Nimbus Home#0,Nimbus Home,Nimbus Home,home_personal_wellness,"audio,retail_media",channel,2025-05,2025-07,gradual,genuine_efficiency_gain:1.00
1,brand:Nimbus Home#1,Nimbus Home,Nimbus Home,home_personal_wellness,"retail_media,audio",channel,2024-01,2024-03,gradual,genuine_efficiency_gain:1.00
2,brand:Nimbus Home#2,Nimbus Home,Nimbus Home,home_personal_wellness,"retail_media,paid_search",channel,2025-02,2025-02,sudden,creative_refresh:1.00
3,brand:Nimbus Home#3,Nimbus Home,Nimbus Home,home_personal_wellness,"display,audio",channel,2024-11,2024-11,sudden,creative_refresh:1.00
4,brand:Nimbus Home#4,Nimbus Home,Nimbus Home,home_personal_wellness,"display,paid_search,social,digital_video,audio,retail_media",brand_wide,2024-05,2024-07,gradual,mix_shift_artifact:1.00
5,brand:Nimbus Home#5,Nimbus Home,Nimbus Home,home_personal_wellness,retail_media,channel,2024-04,2024-06,gradual,spend_reduction_artifact:1.00
6,brand:Nimbus Home#6,Nimbus Home,Nimbus Home,home_personal_wellness,paid_search,channel,2025-08,2025-10,gradual,genuine_efficiency_gain:1.00
7,brand:Nimbus Home#7,Nimbus Home,Nimbus Home,home_personal_wellness,audio,channel,2025-08,2025-10,gradual,genuine_efficiency_gain:1.00
8,brand:Nimbus Home#8,Nimbus Home,Nimbus Home,home_personal_wellness,retail_media,channel,2025-03,2025-03,sudden,spend_reduction_artifact:1.00
0,brand:Verdant Snacks#0,Verdant Snacks,Verdant Snacks,food_beverage,paid_search,channel,2023-04,2023-06,gradual,genuine_efficiency_gain:1.00
1,brand:Verdant Snacks#1,Verdant Snacks,Verdant Snacks,food_beverage,display,channel,2023-03,2023-03,sudden,survivorship_bias:1.00
2,brand:Verdant Snacks#2,Verdant Snacks,Verdant Snacks,food_beverage,"retail_media,social",channel,2024-07,2024-07,sudden,genuine_efficiency_gain:1.00
3,brand:Verdant Snacks#3,Verdant Snacks,Verdant Snacks,food_beverage,"social,paid_search,digital_video,retail_media,affiliate,display",brand_wide,2023-09,2023-11,gradual,mix_shift_artifact:1.00
4,brand:Verdant Snacks#4,Verdant Snacks,Verdant Snacks,food_beverage,paid_search,channel,2023-07,2023-09,gradual,spend_reduction_artifact:1.00
5,brand:Verdant Snacks#5,Verdant Snacks,Verdant Snacks,food_beverage,"social,paid_search,digital_video,retail_media,affiliate,display",brand_wide,2025-08,2025-10,gradual,mix_shift_artifact:1.00
6,brand:Verdant Snacks#6,Verdant Snacks,Verdant Snacks,food_beverage,"social,paid_search,digital_video,retail_media,affiliate,display",brand_wide,2024-07,2024-07,sudden,mix_shift_artifact:1.00
0,brand:Crestline Beverages#0,Crestline Beverages,Crestline Beverages,food_beverage,retail_media,channel,2023-08,2023-08,sudden,survivorship_bias:1.00
1,brand:Crestline Beverages#1,Crestline Beverages,Crestline Beverages,food_beverage,"paid_search,tv",channel,2024-01,2024-03,gradual,genuine_efficiency_gain:0.35;creative_refresh:0.65
2,brand:Crestline Beverages#2,Crestline Beverages,Crestline Beverages,food_beverage,social,channel,2024-09,2024-09,sudden,survivorship_bias:1.00
3,brand:Crestline Beverages#3,Crestline Beverages,Crestline Beverages,food_beverage,affiliate,channel,2024-05,2024-05,sudden,survivorship_bias:1.00
4,brand:Crestline Beverages#4,Crestline Beverages,Crestline Beverages,food_beverage,tv,channel,2024-06,2024-06,sudden,survivorship_bias:1.00
5,brand:Crestline Beverages#5,Crestline Beverages,Crestline Beverages,food_beverage,affiliate,channel,2025-07,2025-07,sudden,creative_refresh:1.00
6,brand:Crestline Beverages#6,Crestline Beverages,Crestline Beverages,food_beverage,retail_media,channel,2024-05,2024-05,sudden,genuine_efficiency_gain:0.80;creative_refresh:0.20
7,brand:Crestline Beverages#7,Crestline Beverages,Crestline Beverages,food_beverage,paid_search,channel,2025-05,2025-05,sudden,genuine_efficiency_gain:0.58;creative_refresh:0.42
0,brand:Halcyon Personal Care#0,Halcyon Personal Care,Halcyon Personal Care,home_personal_wellness,affiliate,channel,2025-08,2025-08,sudden,creative_refresh:1.00
1,brand:Halcyon Personal Care#1,Halcyon Personal Care,Halcyon Personal Care,home_personal_wellness,retail_media,channel,2025-03,2025-03,sudden,survivorship_bias:1.00
2,brand:Halcyon Personal Care#2,Halcyon Personal Care,Halcyon Personal Care,home_personal_wellness,"display,social",channel,2023-02,2023-02,sudden,creative_refresh:1.00
3,brand:Halcyon Personal Care#3,Halcyon Personal Care,Halcyon Personal Care,home_personal_wellness,"paid_search,social",channel,2024-02,2024-04,gradual,spend_reduction_artifact:1.00
4,brand:Halcyon Personal Care#4,Halcyon Personal Care,Halcyon Personal Care,home_personal_wellness,display,channel,2023-04,2023-06,gradual,genuine_efficiency_gain:1.00
5,brand:Halcyon Personal Care#5,Halcyon Personal Care,Halcyon Personal Care,home_personal_wellness,digital_video,channel,2023-04,2023-04,sudden,creative_refresh:1.00
6,brand:Halcyon Personal Care#6,Halcyon Personal Care,Halcyon Personal Care,home_personal_wellness,"digital_video,retail_media",channel,2023-12,2023-12,sudden,survivorship_bias:1.00
0,brand:Ridgeway Grocery#0,Ridgeway Grocery,Ridgeway Grocery,food_beverage,"audio,display",channel,2023-11,2023-11,sudden,survivorship_bias:1.00
1,brand:Ridgeway Grocery#1,Ridgeway Grocery,Ridgeway Grocery,food_beverage,"affiliate,retail_media",channel,2024-01,2024-01,sudden,genuine_efficiency_gain:0.40;creative_refresh:0.60
2,brand:Ridgeway Grocery#2,Ridgeway Grocery,Ridgeway Grocery,food_beverage,retail_media,channel,2025-04,2025-04,sudden,spend_reduction_artifact:1.00
