brand,channel,month,genuine_efficiency_gain,spend_reduction_artifact,mix_shift_artifact,survivorship_bias,external_demand_spike,creative_refresh,group_id,event_keys
Aster Wellness,audio,2023-11,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Aster Wellness,audio,2023-12,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Aster Wellness,audio,2024-01,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Aster Wellness,audio,2024-05,0.0,0.0,0.0,0.0,0.0,1.0,brand:Aster Wellness#7,brand:Aster Wellness#0
Aster Wellness,audio,2024-06,0.0,0.0,0.5,0.0,0.0,0.5,brand:Aster Wellness#7,brand:Aster Wellness#0;brand:Aster Wellness#7
Aster Wellness,audio,2024-07,0.0,0.0,0.0,0.0,0.0,1.0,brand:Aster Wellness#7,brand:Aster Wellness#0
Aster Wellness,audio,2025-03,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#1,category:home_personal_wellness#1
Aster Wellness,audio,2025-05,0.0,0.0,0.0,0.0,0.0,1.0,brand:Aster Wellness#6,brand:Aster Wellness#6
Aster Wellness,audio,2025-09,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#2,category:home_personal_wellness#2
Aster Wellness,digital_video,2023-11,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Aster Wellness,digital_video,2023-12,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Aster Wellness,digital_video,2024-01,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Aster Wellness,digital_video,2024-06,0.0,0.0,1.0,0.0,0.0,0.0,brand:Aster Wellness#7,brand:Aster Wellness#7
Aster Wellness,digital_video,2025-03,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#1,category:home_personal_wellness#1
Aster Wellness,digital_video,2025-09,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#2,category:home_personal_wellness#2
Aster Wellness,display,2023-11,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Aster Wellness,display,2023-12,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Aster Wellness,display,2024-01,0.0,0.0,0.0,0.0,1.0,0.0,category:home_personal_wellness#0,category:home_personal_wellness#0
Aster Wellness,display,2024-05,0.0,0.0,0.0,0.0,0.0,1.0,brand:Aster Wellness#7,brand:Aster Wellness#0
Aster Wellness,display,2024-06,0.0,0.0,0.5,0.0,0.0,0.5,brand:Aster Wellness#7,brand:Aster Wellness#0;brand:Aster Wellness#7
